crc,rndinten,expinten
001607728,.0016922901,.011903396
086976580,.0010438414,.72546971
100011516,.0051693474,.01778782
100019964,.030774666,.017408883
100026793,.0042646276,.011560971
101100772,.00094776729,.04090935
101101097,.012088678,.0014137606
101101329,.089322418,.12383253
101101660,.010878304,.010277061
101101900,.0057648774,.18407683
101102022,.0061792694,.003513356
101115050,.00038198044,.00096429622
101123624,.0037887248,.028153514
101130066,.00099108473,.029382439
101130904,.0033819927,.00089726335
101133734,.00002857656,.088909842
101137460,.0068884846,.32344311
101141523,.0031506182,.033885762
101166966,.011089758,.19473524
101177737,.00058823527,.037779413
101202904,.0028724202,.0022612212
101208804,.0015946359,.25602552
101209006,.014832508,.023141047
101209014,.0075334953,.044912584
101223393,.0001658532,.033999905
10129655X,.0012047959,.39083967
101353710,.025831141,.86821336
101440726,.0011211365,.033050027
101461180,.0011232283,.024894824
101476227,.0032398461,.023693815
101670003,.000095723757,.051168699
101717457,.01764537,.0065452661
101771031,.00029289009,.0069854287
101807807,.0057344711,.21781816
101850063,.0007278868,.28603038
101891869,.0048595294,.15820046
101913909,.00035100034,.0056160055
101939631,.024960548,.030044392
102042252,.0043872371,.0082910322
102118747,.049736653,.039068822
102163695,.00144397,.074883506
102183725,.014279159,.34092996
102398398,.0043435744,.01845384
102602715,.0034403671,.82912844
102643808,.000035931156,.058100678
102757506,.00025448069,.9525212
102767480,.0044052904,.0061031729
102849582,.0048687467,.0025560921
102861899,.0012661363,.34755442
102868003,.020638984,.46635845
10291863X,.0015785781,1
102930364,.0010241005,.22014748
102944627,.0018782869,.099549212
103061746,.005060527,.0058331634
103062482,.00015829742,.011872306
103063805,.00024629748,.041305482
103067021,.00080971658,.075141698
10306869X,.014577808,.12238421
103068833,.00003092624,.079789698
103069035,.03270185,.099007666
10306922X,.00053788227,.069924697
103069318,.0035414919,.038610645
103069502,.034274239,.00088037859
103070351,.00754624,.0028747581
103070853,.0055475505,.073577091
103071637,.00091606972,.081456915
103072365,.0027037773,.084691852
103100784,.0073151109,.14379743
10312927X,.0012836568,.54101437
10320206X,.00027966441,.90371555
10320898X,.0022687798,.088254452
103275744,.0019698981,.17197876
103307320,.0037890747,.10483107
10331837X,.0053852987,.29380414
103380712,.0047120419,.089005239
103384326,.00036159731,.001414946
103413780,.002736842,.20551379
103478103,.010381432,.18261965
103479018,.0011331445,.0072845002
103479827,.0086009176,.077408254
103545820,.0028882471,.067540549
103608350,.011944637,.65162629
103730057,.001952381,.19142857
103730639,.0053007994,.032393772
103767730,.00029241852,.018757578
103786106,.0025298523,.026917627
103787467,.016744077,.01137947
103793154,.000036888119,.40730014
10381228X,.000032894735,.19210526
103866042,.00029022896,.0091099646
103933751,.0024700416,.32012716
104160500,.0057603689,.58064514
104286680,.00074074074,1
104313327,.0011134555,.16471769
10432320X,.0043819454,.013145836
104323402,.0011462304,.59615439
104408908,.010934653,.021921374
104410231,.0094938884,.11020121
10441198X,.0016748129,.021590274
104412042,.0010860572,.0033652689
104414144,.023378946,.031389672
104503219,.0096493233,.10263833
104568581,.00029360331,.086015649
104569621,.000028683191,.1503035
104620896,.0093902592,.3592087
104622138,.00047103263,.17870253
104622584,.013369991,.028400764
104680733,.014764079,.12328767
104681170,.0026329646,.68800622
104683862,.0051368363,.05965063
104711771,.0047961632,.1822542
104711886,.017214546,.34995049
104713590,.010946031,.0010915407
104742594,.019133035,.00037369208
104793172,.00068691495,.103576
104793703,.0069428259,.65529859
104904565,.0020942409,.23141362
104951628,.00096200098,.76960075
105103284,.000082270672,.98988068
105198674,.00078588346,.76220214
105311702,.000067434252,.84827292
105370163,.000022834873,.015969189
105525284,.00012161329,.0057940045
105525962,.0013695124,.092282094
105566107,.00027121019,.0071921991
105574406,.0027872934,.0066065234
105760081,.019977419,.93311673
105760110,.0012721334,.26016161
105762247,.0020242808,.24393775
105780461,.0042932658,.079058334
105783910,.0033122473,.03398072
105941835,.00054505281,.026882321
105942504,.034005277,.12530623
105945692,.0017190776,.044821803
105946302,.0010504891,.41888255
10594733x,.0025959387,.28937203
10594901x,.0038231781,.10991637
10595293x,.0046896455,.052033521
105970345,.00063893734,.29486817
106174113,.00070361793,.012301966
106181081,.0003870127,.040506739
106330534,.000067838926,.20973082
106421639,.0081218276,.11456853
106510690,.0015518093,.018890304
106620718,.00028351368,.12521854
10678646X,.0042013009,.031622697
106802861,.0049999999,1
10774064X,.021511441,.28231797
108106261,.00069696124,.36214107
108132136,.005514706,.26378676
108161535,.00072786433,.19720842
108402730,.0096406657,1
109001250,.0054516587,.56885529
109001277,.0040036258,.02077353
109021948,.000073910924,.0077458648
109282240,.0096800001,.86799997
109592732,.0052638669,.00079968601
109748813,.0093182148,.44730338
109790069,.00030694104,.46232995
109790624,.0018692793,.2094882
109792048,.00090463174,.83423126
109798271,.0014973165,.18493056
109804539,.003290754,.14209688
109812280,.00033200663,.07952255
109851642,.0058853449,.016469277
109874836,.0037865879,.77859819
109876292,.015712153,1
109938932,.0097613884,1
109950050,.0002725719,.016427983
110011026,.001330638,.012366794
110016062,.0023976851,.3992559
110025153,.024483776,.1398498
110090940,.00096917548,.1246927
110118026,.00024307244,.530303
110147521,.0083101708,.71646154
11039029X,.0014900896,.047114994
11039600X,.00091028382,.048587877
110762428,.0065911491,.01035752
110763842,.000014254558,.088235714
110900130,.0018650639,.0016286331
111201358,.00056688505,.092637859
111233405,.0016231296,.97986305
111357651,.0090279188,.39154083
111871394,.0007522332,.27622148
112360000,.0013821134,.016448915
112974176,.0007307271,.092162952
113036931,.0027468754,.79745913
113066540,.0079401555,.014603758
113092247,.010559956,.32558009
113121546,.001135263,.70732659
113127294,.00045616738,.0059808614
113249304,.0045544715,.99311769
113638887,.0035852257,.083818659
113663169,.0016622226,.00024240745
113690132,.0042050178,.057300378
113690511,.033336125,.018100217
113902131,.0087412586,.0097478284
113962468,.0005892691,.13884006
113962636,.0044133873,.0017163173
114124263,.0074924645,.000026125041
114124810,.00027389853,.11521647
114154796,.0014406863,.29391637
114155107,.0020642201,.53440368
114391919,.0028602073,.2475867
114392559,.00011706318,.039436404
114394909,.00014624209,.27025813
114421161,.021748586,1
115137701,.00038008596,.072032414
11774373X,.008687566,.36802825
117829330,.00092505856,.95725995
117974140,.0066222022,.0049136551
118077054,.016140489,.073835835
11826241X,.052434456,1
118418234,.0020242915,.25708503
118421740,.00046003138,.0075769876
118422735,.012736237,1
118429232,.0035488412,.11304744
118470702,.0011046997,.56118804
118475968,.0022612559,.177872
118515528,.0019974033,.35783482
118515990,.0082294093,.063527547
118516512,.0015641972,.0061916141
118517187,.0037727475,.012427874
118519190,.0095798774,.13286059
118565162,.023660358,.0071314317
118567774,.0023181075,.95179391
118572514,.0019861998,.03732508
118574763,.0072528408,.069130294
118628725,.0056980057,.37281236
118679987,.00045433894,.27260336
118941287,.0051706308,.014477766
119315931,.01635514,.92990655
119563134,.010947223,.98778522
