crc,indtype,rndinten,expinten
101115595,3725,0,0
101116379,2730,.00049898779,0
101116571,2312,0,0
101116707,4211,0,0
101118315,3722,0,0
101118825,3465,0,0
101119705,1810,0,0
101120060,4228,.010957976,0
101121370,3465,0,0
101121856,1314,0,0
101121880,1810,0,0
101122066,3564,0,.067634426
101122226,3681,0,0
101122322,3431,0,0
101122859,1810,0,0
101122998,3626,0,0
101123181,2110,0,0
101123624,3727,.0037887248,.028153514
101124053,3134,.00024888603,0
101124467,3010,.0051151775,0
10112458X,2672,0,0
101125283,2652,.021159515,0
101125670,3782,0,0
101125734,4153,0,0
101126104,4260,0,0
101127035,4242,0,0
101127078,3782,0,0
101127334,3434,0,0
101127940,3725,.0030109563,0
101128011,3010,0,0
101128302,3190,.0031897926,0
101128345,2319,0,0
101128839,4143,0,0
101129428,4069,0,0
101129583,2617,.00017686594,0
101129719,2311,0,0
101130066,3110,.00099108473,.029382439
101130146,1413,.00010047783,0
101130189,2652,0,0
101130410,1312,.000017175196,0
101130779,1344,0,0
101130840,3010,0,0
101130904,3521,.0033819927,.00089726335
101131245,3635,.0015608741,0
101131720,3635,0,0
101133400,3675,0,0
101133734,3721,.00002857656,.088909842
101134104,3531,.0055132317,0
101134403,3131,.0012409228,0
101134470,3571,0,0
101134753,4141,0,0
101135000,2311,0,0
101135078,3565,0,0
101135297,1499,0,0
101135983,2750,.5101375,0
101136687,2663,0,0
101137049,4141,0,0
101137372,2413,0,0
101137460,2710,.0068884846,.32344311
101137612,3526,0,.27762121
101139749,1810,0,.3720125
101139781,3090,0,0
101140184,2730,0,0
101141187,2230,0,0
101141523,2671,.0031506182,.033885762
101141769,3441,0,0
101141988,2311,0,0
101142091,3678,0,0
101142446,4254,0,0
101144265,2685,0,0
10114488X,4216,.032909203,0
101145145,4219,0,0
101145372,1744,0,.25121543
101145591,4160,0,.032561745
101145823,3681,0,0
101145946,1919,0,0
101146762,2710,.020771036,0
101147298,4230,0,.063342966
101148119,2720,.0065765874,0
101149349,3619,0,0
10115106X,3623,0,0
101151254,3465,0,0
101151713,3786,0,0
101153970,4230,.0064550834,0
101154180,3410,.003125,0
101154682,4065,.006869792,0
101155220,1810,0,0
101155423,2311,0,0
101156565,4027,.0024665256,0
10115667X,3631,0,0
10116109X,3679,0,0
101161639,4153,0,0
101163423,4091,0,0
10116416X,4143,0,0
101164506,3727,0,0
101164821,3782,0,0
101164960,1312,0,0
101165189,1414,0,0
10116619X,2312,0,0
101166966,2433,.011089758,.19473524
101169964,1742,0,0
101170412,4155,.0028967515,0
101170666,2750,0,0
101172039,3649,0,0
101173816,3499,0,0
101173947,3121,.019995244,0
10117419X,3622,0,0
101174982,3782,0,0
10117590X,1453,0,0
101176574,3542,.0011535235,0
101176849,1317,0,0
101176961,4024,0,0
101177059,3782,0,0
101177112,1781,0,0
101177606,3133,0,0
101177737,4217,.00058823527,.037779413
101178430,3381,0,0
101178561,3562,.031342365,0
101181410,3727,0,0
10118251X,3571,.01568681,0
101184048,2230,0,0
101184689,1810,0,1
101194801,3121,0,0
101196487,1499,0,0
101196612,1459,0,0
10119713X,2681,.0077156653,0
101198132,2750,0,0
101198300,2110,0,0
101200482,2720,0,0
101201442,1810,0,0
101202904,3721,.0028724202,.0022612212
10120466X,2110,0,0
101204678,4141,0,0
101204723,3677,0,0
101205304,3613,0,0
10120562X,3110,0,0
101208038,3121,.004569625,0
101208775,4260,0,0
101208791,3613,0,0
101208804,2710,.0015946359,.25602552
101208812,3123,0,0
101208871,4225,0,0
101208951,3040,0,0
10120896X,2031,.00010841871,0
101209006,4160,.014832508,.023141047
101209014,3679,.0075334953,.044912584
101209065,3531,0,0
101209188,4173,0,0
101209196,4230,0,.14276063
101209209,2311,0,0
101209276,3139,0,0
101209284,3714,.0015335071,0
101209313,3121,0,0
101209823,3030,0,0
101210226,2319,0,0
101210381,3090,0,0
101210664,2190,0,0
101212336,2311,0,0
101213216,3410,0,0
101213662,3725,0,0
101215975,3727,0,.25586918
101216660,3671,0,0
101217356,2617,0,0
101221320,1724,0,.0070783696
101221523,4313,0,.35311741
101221865,2311,0,0
101223393,4171,.0001658532,.033999905
101227765,2319,0,0
101228952,3526,0,0
101235677,3782,0,0
101236477,1523,0,0
101236776,2311,0,0
101248048,2312,0,0
101252493,2311,0,0
10125355X,1723,0,0
101254691,4024,0,0
101263280,3010,0,0
101287610,4074,0,0
101287637,3080,0,0
101287725,2990,0,0
101288998,2311,0,0
101289106,3050,0,0
101289448,3561,0,0
101289691,4211,0,0
101289763,3010,0,0
101292778,4024,.028190477,0
10129655X,2433,.0012047959,.39083967
101297296,3782,0,0
101300264,3652,.00028691659,0
101302593,4211,0,0
101303131,4024,.0011018723,0
10130867X,4112,0,0
101309234,4312,0,0
101320775,3675,0,0
10132088X,2311,0,0
101321145,4257,.00070746377,0
101333840,3627,0,0
101337892,4021,0,0
101338166,4112,.031033369,0
101339409,4153,.0013604248,0
101339580,4212,.027364748,0
101340661,3672,0,.16928752
101353710,4027,.025831141,.86821336
10135393X,4259,0,0
10135991X,2311,0,0
101360566,2311,0,0
10136089X,2659,0,0
101361198,3499,0,0
101361315,1412,0,0
101361358,4022,0,0
101362326,4392,0,0
101363097,1412,0,0
101363177,4290,0,0
101363310,2411,0,0
101363900,3782,0,0
101364698,2319,0,0
101364890,2312,0,0
101366968,3727,.025298255,0
101367936,2319,0,0
101368701,2319,0,0
10136935X,4217,0,0
101371871,4392,0,0
10137188X,4392,0,0
10137209X,2311,0,0
101382933,2311,0,0
10138295X,4243,0,0
101384031,2311,0,0
101384533,4099,0,0
101385771,2319,0,0
101389254,1939,0,0
101389510,4312,0,.18339369
101390554,2667,0,0
101392162,3715,0,0
101394723,3715,.021297771,0
101394758,2312,0,0
101398871,3677,0,0
101402578,3727,0,0
101410412,4225,0,0
101415133,2319,0,0
101416339,2311,0,0
101416902,4074,0,0
101419556,3010,0,0
101420792,2669,0,0
101422448,3090,0,0
101422544,1499,0,0
10142358X,1810,0,.05494009
101424494,4317,0,0
101424531,3782,0,0
101425665,4319,0,0
101431651,3782,0,0
101434369,1810,0,0
101440726,2720,.0011211365,.033050027
101447741,4029,0,0
101461180,2730,.0011232283,.024894824
101462511,4213,.0030069409,0
101466088,2490,0,0
101476227,3561,.0032398461,.023693815
101488834,1810,0,0
101489220,1781,0,0
101491435,1590,0,0
101492454,1923,0,0
10149437X,3678,0,0
101494484,4213,0,0
101494505,4311,0,0
101497773,3435,0,0
101507273,1312,0,0
101509228,3635,0,.32852522
101512996,4212,0,0
101513083,2684,.00031213235,0
10151393X,3080,0,0
101514043,4190,.00057278143,0
10151617X,4215,0,0
101516284,1830,.0029922202,0
101516567,3678,0,0
101516655,1312,0,0
101516807,2433,0,0
101517287,4353,0,0
101517308,1521,0,0
101517527,3679,0,0
101517615,2619,.0015506166,0
101520355,3652,0,0
101520697,3654,0,0
101521745,1412,.0040989025,0
101522596,1411,0,0
101522692,1390,0,0
101524129,2720,.10247301,0
101524145,3434,0,0
101525674,3171,0,0
10152935X,3782,0,0
101530238,2685,.00034461962,0
101530406,3535,.0011427483,0
101531281,2730,0,0
101531337,1412,0,0
101531353,1810,0,0
101531580,2730,0,0
101531644,3483,0,0
101532081,2750,0,0
101532313,2110,0,0
101532559,4027,0,0
101532874,1820,0,0
101532890,1810,0,0
101537325,3635,0,0
101537456,4190,0,0
101537739,1390,0,0
101539232,4091,0,0
101539240,2319,0,0
101539259,2319,0,0
101539339,2319,0,0
101539371,4021,0,0
101539515,3431,0,0
101540591,2230,0,0
10154201X,3561,0,0
101542036,2319,0,0
101542239,3486,0,0
101542247,2319,0,0
101542335,2319,0,0
101542423,2319,0,0
10154252X,3465,0,0
101542546,3040,0,0
101542925,2319,0,0
101545173,3727,.00035045558,0
101545181,2685,0,0
101560437,4213,.0041594193,0
101562758,2319,0,0
101568834,4029,.017356778,0
101569845,1810,0,0
101574820,2319,0,0
101576623,3782,0,0
101582919,2730,0,0
101602983,2319,0,0
101603265,3782,0,0
101603599,2230,0,0
101604321,2311,0,0
101605180,2312,0,0
101607717,4027,0,0
101610377,3090,0,0
101610457,2221,0,0
101611417,1491,0,0
101613519,3782,.0037382392,0
101618619,2720,.045562457,0
101619021,2720,0,0
101619304,4027,.0038674839,0
101619347,4211,0,0
10161938X,4211,0,0
101619849,3727,.0022046159,0
101620188,3726,0,0
101620591,2950,.0013673122,0
101622343,3010,0,0
101622431,4353,0,0
101622474,2230,0,0
101624349,3050,0,0
101624381,4021,0,0
101625851,2319,0,0
101626774,2720,0,0
101627742,3531,0,0
